Season,Episode,Title,Airdate,Rating,Total Votes,Episode Description,episode_category,is_holiday
2,1,Undercover,2015-01-15 00:00:00,8.2,2924,"Jake's undercover operation ends in a successful sting, until he learns one mobster has gotten away. Jake enlists Charles' help to track him down, and Holt tests the squad with practice drills. But can Charles keep his new secret from Jake?",Great,Non-Holiday
2,2,Chocolate Milk,2015-01-22 00:00:00,7.7,2752,"Holt's old nemesis is in charge of the precinct inspection, Peralta and Jeffords investigate a stabbing before Jeffords goes in for his vasectomy, and Boyle needs a plus-one for his ex-wife's wedding.",Great,Non-Holiday
2,3,The Jimmy Jab Games,2015-01-29 00:00:00,8.3,2872,"The precinct holds a competition while on stand-by for a motorcade, Holt has another run-in with Deputy Chief Wuntch, Boyle needs to get an incriminating videotape from Hitchcock, and Rosa thinks Peralta still has feelings for Santiago.",Great,Non-Holiday
2,4,Halloween II,2014-10-19 00:00:00,8.8,3222,"The Peralta/Holt annual Halloween bet continues when Jake challenges the Captain that he can steal his watch before midnight. Meanwhile, Gina is upset that her dance team, Floorgasm, kicks her off the squad and Terry confronts her about her bad attitude.",Masterpiece,Holiday
2,5,The Mole,2014-11-02 00:00:00,8.2,2739,"There's a mole in the precinct and Holt and Jake need to find out who it is before Deputy Chief Madeline Wuntch gets wind of it. Meanwhile, Terry and Rosa visit a ""silent"" disco to uncover new leads for their new drug task force.",Great,Non-Holiday
2,6,Jake and Sophia,2014-11-09 00:00:00,8.2,2743,"Jake hits it off with a woman at a bar, but later finds out she is the attorney for a perp he is trying to put in jail. Meanwhile, Gina and Charles work to put their relationship behind them, and Amy is pressured into running for union rep.",Great,Non-Holiday
2,7,Lockdown,2014-11-16 00:00:00,7.8,2629,"The precinct goes into lockdown mode on Thanksgiving night, and Jake, who was left in charge, is confident in his ability to keep spirits high and avoid chaos. Amy is less confident, as things spiral out of control.",Great,Holiday
2,8,USPIS,2014-11-23 00:00:00,7.9,2624,"While attempting to catch a drug dealer, Jake and Charles reluctantly join forces with the nerdy lead investigator at the U.S. Postal Service, Jack Danger. Meanwhile, the rest of the team helps Amy quit smoking.",Great,Non-Holiday
2,9,The Road Trip,2014-11-30 00:00:00,8.2,2689,"Jake and Amy have a case early in the morning, so they stay at a hotel overnight. Jake invites Sophia and Amy's boyfriend not knowing that Amy is planning on breaking up with him.",Great,Non-Holiday
2,10,The Pontiac Bandit Returns,2014-12-07 00:00:00,8.3,2662,"The Pontiac Bandit aka Doug Judy, is back in custody, after jamming up Jake and Rosa in his previous encounter with them. But when Rosa discovers that Judy knows the whereabouts of the ""Giggle Pig"" drug leader, Capt. Holt offers the perp a plea deal to help track down the drug kingpin. Meanwhile, Gina and Boyle are nervous that their parents might be getting too close, and Santiago makes Holt a Christmas gift against his wishes.",Great,Holiday
2,11,Stakeout,2014-12-14 00:00:00,7.8,2571,"Jake and Boyle go on a stakeout and tensions rise between the two, Rosa shows interest in Holt's nephew, and Terry writes a book for his daughters. Santiago and Gina are displeased when they assume the characters in the book are based on them.",Great,Non-Holiday
2,12,Beach House,2015-01-04 00:00:00,8.3,2698,The precinct's annual getaway to Boyle's beach house is ruined when Holt guilts Peralta into inviting him along for the festivities.,Great,Non-Holiday
2,13,Payback,2015-01-11 00:00:00,8.0,2543,"Jake goes to great lengths to keep Terry's secret from the rest of the precinct, and Amy gets her chance to partner up with Captain Holt.",Great,Non-Holiday
2,14,Defense Rests,2015-01-25 00:00:00,7.7,2497,Jake tries to impress Sophia's boss. Gina refuses to give her blessing to her mom's engagement. Holt faces a difficult decision.,Great,Non-Holiday
2,15,Windbreaker City,2015-02-08 00:00:00,8.2,2561,"Jake is heartbroken over Sophia, but his spirits are lifted when the squad is invited to a Homeland Security terrorist training simulation.",Great,Non-Holiday
2,16,The Wednesday Incident,2015-02-15 00:00:00,8.0,2510,"Peralta sets out to prove that--for once--he is not the source of Captain Holt's bad mood. Boyle apprehends a notorious bank robber, who turns out to be a harmless-looking old man whom nobody else believes committed the crime.",Great,Non-Holiday
2,17,Boyle-Linetti Wedding,2015-03-01 00:00:00,8.2,2582,"It's the day of Gina and Charles' parents' wedding, and the whole squad is given a job to fulfill for the ceremony. However, Jake and Amy get sidetracked chasing a criminal, and Terry struggles to officiate the wedding.",Great,Non-Holiday
2,18,Captain Peralta,2015-03-08 00:00:00,7.8,2480,"Jake's mainly absentee father, Roger (guest star Bradley Whitford), comes to town to spend some time with his son. Jake can't wait to see him, but Charles is skeptical of Roger's intentions. Meanwhile, Holt tasks Amy, Terry, Gina and Rosa with an impossible brain teaser in exchange for Beyoncé tickets.",Great,Non-Holiday
2,19,Sabotage,2015-03-15 00:00:00,7.9,2453,Amy and Rosa investigate Jake's claim that somebody is trying to sabotage him and get him fired. Boyle partners up with Hitchcock and Scully to solve a case. Captain Holt refuses to lie with Terry about attending Gina's dance performance.,Great,Non-Holiday
2,20,AC/DC,2015-04-26 00:00:00,7.7,2433,"Jake is badly injured trying to chase a suspect, but he refuses to take time off from the job. Holt and Rosa have an awkward dinner date with their significant others, so they invite Amy and Gina along as well.",Great,Non-Holiday
2,21,Det. Dave Majors,2015-05-03 00:00:00,8.0,2470,"Jake is jealous when a detective from another precinct wants to ask Amy out on a date. Linetti and Boyle try to keep Jeffords from taking a job with a private firm, but captain Holt seems to be pushing him out the door.",Great,Non-Holiday
2,22,The Chopper,2015-05-10 00:00:00,8.6,2594,"When Wuntch lets Jake work his dream case, Holt worries she is setting them up to fail. Meanwhile, Terry hopes to get his girls off the wait list for a magnet school by hosting a field trip.",Masterpiece,Non-Holiday
2,23,Johnny and Dora,2015-05-17 00:00:00,9.1,3448,"When Jake and Amy go under cover to catch an identity thief, the investigation brings them closer.",Masterpiece,Non-Holiday
3,1,New Captain,2016-01-07 00:00:00,8.3,2762,"Nobody in the precinct likes the new captain, Wuntch continues to humiliate Holt as he takes his new job in Public Relations, and Jake and Amy try to figure out what to do next after their kiss.",Great,Non-Holiday
3,2,The Funeral,2016-01-07 00:00:00,7.7,2482,"The Nine-Nine gets another personnel change that could put Jake and Amy's budding relationship at risk. Meanwhile, Terry assists Holt with an important public relations matter, and Rosa and Gina try to convince Charles to rethink his affection for a fellow officer.",Great,Non-Holiday
3,3,Boyle's Hunch,2016-01-14 00:00:00,7.8,2413,"Jake thinks Boyle might have met his soul-mate in Genevieve, an art gallery owner, and he tries to help set them up. Meanwhile, Rosa deals with inter-precinct theft and Holt seeks Amy's help with an image campaign.",Great,Non-Holiday
3,4,The Oolong Slayer,2016-01-14 00:00:00,8.5,2593,Jake and Holt both get in trouble when they work on a serial killer case together in secret. The Vulture asks Amy and Rosa set up his birthday party. Boyle introduces Terry to a delicious new snack.,Masterpiece,Non-Holiday
3,5,Halloween III,2016-01-21 00:00:00,9.0,3065,"For this year's Halloween challenge, Jake and Holt divide the precinct into teams as they try to see who can steal a crown held under lock and key in the interrogation room.",Masterpiece,Holiday
3,6,Into the Woods,2016-01-28 00:00:00,7.8,2374,Jake and Charles talk Terry into going camping; Rosa receives relationship advice from Holt; Gina helps Amy prepare for a presentation.,Great,Non-Holiday
3,7,The Mattress,2016-02-04 00:00:00,7.8,2366,"Jake and Amy work together on a case, and wind up arguing over Jake's old, worn-out mattress. Meanwhile, Boyle scratches Holt's prized car, and the teenage boy Rosa sponsors as a ""big brother"" is in trouble with the law.",Great,Non-Holiday
3,8,Ava,2016-02-11 00:00:00,8.2,2406,"Jake entertains Terry's pregnant wife, Sharon, until her water breaks sooner than expected and crisis ensues at the precinct.",Great,Non-Holiday
